timestamp_ms,matrix_size,impl,threads,blockX,blockY,gridX,gridY,power_mW,temp_c,clock_MHz,time_ms,energy_mJ
1737700666591.000000,16384x16384,1,32,1,32,512,1,21343,29.0,210,4.535300,17841.591000
1737700666593.000000,16384x16384,1,32,1,32,512,1,21343,29.0,210,4.535300,17841.591000
1737700666594.000000,16384x16384,1,32,1,32,512,1,21343,29.0,210,4.535300,17841.591000
1737700666596.000000,16384x16384,1,32,1,32,512,1,21343,29.0,210,4.535300,17841.591000
1737700666597.000000,16384x16384,1,32,1,32,512,1,21343,29.0,210,4.535300,17841.591000
1737700666599.000000,16384x16384,1,32,1,32,512,1,21343,29.0,210,4.535300,17841.591000
1737700666600.000000,16384x16384,1,32,1,32,512,1,21343,29.0,210,4.535300,17841.591000
1737700666603.000000,16384x16384,1,32,1,32,512,1,21343,29.0,210,4.535300,17841.591000
1737700666611.000000,16384x16384,1,32,1,32,512,1,21443,29.0,210,4.535300,17841.591000
1737700666613.000000,16384x16384,1,32,1,32,512,1,21443,29.0,210,4.535300,17841.591000
1737700666619.000000,16384x16384,1,32,1,32,512,1,21443,29.0,210,4.535300,17841.591000
1737700666621.000000,16384x16384,1,32,1,32,512,1,21443,29.0,210,4.535300,17841.591000
1737700666623.000000,16384x16384,1,32,1,32,512,1,21443,29.0,210,4.535300,17841.591000
1737700666625.000000,16384x16384,1,32,1,32,512,1,21443,29.0,210,4.535300,17841.591000
1737700666627.000000,16384x16384,1,32,1,32,512,1,21443,29.0,210,4.535300,17841.591000
1737700666629.000000,16384x16384,1,32,1,32,512,1,21443,29.0,210,4.535300,17841.591000
1737700666631.000000,16384x16384,1,32,1,32,512,1,21443,29.0,210,4.535300,17841.591000
1737700666633.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
1737700666645.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
1737700666647.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
1737700666649.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
1737700666651.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
1737700666652.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
1737700666654.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
1737700666655.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
1737700666657.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
1737700666662.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
1737700666663.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
1737700666665.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
1737700666666.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
1737700666668.000000,16384x16384,1,32,1,32,512,1,21443,29.0,2550,4.535300,17841.591000
