timestamp_ms,matrix_size,impl,threads,blockX,blockY,gridX,gridY,power_mW,temp_c,clock_MHz,time_ms,energy_mJ
1737736719769.000000,4096x4096,3,32,1,32,128,1,40455,29.0,2760,0.761032,5737.045000
1737736719771.000000,4096x4096,3,32,1,32,128,1,40455,29.0,2760,0.761032,5737.045000
1737736719773.000000,4096x4096,3,32,1,32,128,1,40455,29.0,2760,0.761032,5737.045000
1737736719775.000000,4096x4096,3,32,1,32,128,1,40455,29.0,2760,0.761032,5737.045000
1737736719776.000000,4096x4096,3,32,1,32,128,1,40455,29.0,2760,0.761032,5737.045000
1737736719780.000000,4096x4096,3,32,1,32,128,1,40455,29.0,2760,0.761032,5737.045000
1737736719781.000000,4096x4096,3,32,1,32,128,1,40455,29.0,2760,0.761032,5737.045000
1737736719783.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719789.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719791.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719798.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719802.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719803.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719807.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719808.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719809.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719811.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719813.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719815.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719817.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719818.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719824.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719825.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719827.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719828.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719830.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719831.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719833.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719837.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719838.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719840.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719841.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719842.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719844.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719845.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719847.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719848.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719849.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719851.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719853.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719855.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719856.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719858.000000,4096x4096,3,32,1,32,128,1,41695,29.0,2760,0.761032,5737.045000
1737736719859.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719861.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719862.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719863.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719865.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719866.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719868.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719869.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719870.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719872.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719874.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719876.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719877.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719879.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719880.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719881.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719883.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719884.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719886.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719887.000000,4096x4096,3,32,1,32,128,1,41695,30.0,2760,0.761032,5737.045000
1737736719889.000000,4096x4096,3,32,1,32,128,1,43785,30.0,2760,0.761032,5737.045000
1737736719890.000000,4096x4096,3,32,1,32,128,1,43785,30.0,2760,0.761032,5737.045000
1737736719892.000000,4096x4096,3,32,1,32,128,1,43785,30.0,2760,0.761032,5737.045000
1737736719899.000000,4096x4096,3,32,1,32,128,1,43785,30.0,2760,0.761032,5737.045000
1737736719901.000000,4096x4096,3,32,1,32,128,1,43785,30.0,2760,0.761032,5737.045000
1737736719902.000000,4096x4096,3,32,1,32,128,1,43785,30.0,2760,0.761032,5737.045000
1737736719903.000000,4096x4096,3,32,1,32,128,1,43785,30.0,2760,0.761032,5737.045000
1737736719905.000000,4096x4096,3,32,1,32,128,1,43785,30.0,2760,0.761032,5737.045000
1737736719906.000000,4096x4096,3,32,1,32,128,1,43785,30.0,2760,0.761032,5737.045000
