timestamp_ms,matrix_size,impl,threads,blockX,blockY,gridX,gridY,power_mW,temp_c,clock_MHz,time_ms,energy_mJ
1737736914407.000000,1024x1024,3,32,1,32,32,1,21261,28.0,210,0.210662,1980.027000
1737736914409.000000,1024x1024,3,32,1,32,32,1,21261,28.0,210,0.210662,1980.027000
1737736914410.000000,1024x1024,3,32,1,32,32,1,21261,28.0,210,0.210662,1980.027000
1737736914412.000000,1024x1024,3,32,1,32,32,1,21261,28.0,210,0.210662,1980.027000
1737736914413.000000,1024x1024,3,32,1,32,32,1,21261,28.0,210,0.210662,1980.027000
1737736914415.000000,1024x1024,3,32,1,32,32,1,21261,28.0,210,0.210662,1980.027000
1737736914417.000000,1024x1024,3,32,1,32,32,1,21261,28.0,210,0.210662,1980.027000
1737736914419.000000,1024x1024,3,32,1,32,32,1,21261,28.0,210,0.210662,1980.027000
1737736914428.000000,1024x1024,3,32,1,32,32,1,21295,28.0,210,0.210662,1980.027000
1737736914430.000000,1024x1024,3,32,1,32,32,1,21295,28.0,210,0.210662,1980.027000
1737736914437.000000,1024x1024,3,32,1,32,32,1,21295,28.0,210,0.210662,1980.027000
1737736914439.000000,1024x1024,3,32,1,32,32,1,21295,28.0,210,0.210662,1980.027000
1737736914440.000000,1024x1024,3,32,1,32,32,1,21295,28.0,210,0.210662,1980.027000
1737736914444.000000,1024x1024,3,32,1,32,32,1,21295,28.0,210,0.210662,1980.027000
1737736914445.000000,1024x1024,3,32,1,32,32,1,21295,28.0,210,0.210662,1980.027000
1737736914447.000000,1024x1024,3,32,1,32,32,1,21295,28.0,2550,0.210662,1980.027000
1737736914464.000000,1024x1024,3,32,1,32,32,1,21295,28.0,2550,0.210662,1980.027000
1737736914465.000000,1024x1024,3,32,1,32,32,1,21295,28.0,2550,0.210662,1980.027000
1737736914467.000000,1024x1024,3,32,1,32,32,1,21295,28.0,2550,0.210662,1980.027000
1737736914468.000000,1024x1024,3,32,1,32,32,1,21295,28.0,2550,0.210662,1980.027000
1737736914470.000000,1024x1024,3,32,1,32,32,1,21295,28.0,2550,0.210662,1980.027000
