timestamp_ms,matrix_size,impl,threads,blockX,blockY,gridX,gridY,power_mW,temp_c,clock_MHz,time_ms,energy_mJ
1737699399953.000000,4096x4096,2,32,1,32,128,1,32719,28.0,2550,0.054107,2468.632000
1737699399955.000000,4096x4096,2,32,1,32,128,1,32719,28.0,2550,0.054107,2468.632000
1737699399957.000000,4096x4096,2,32,1,32,128,1,32719,28.0,2550,0.054107,2468.632000
1737699399958.000000,4096x4096,2,32,1,32,128,1,32719,28.0,2550,0.054107,2468.632000
1737699399960.000000,4096x4096,2,32,1,32,128,1,32719,28.0,2550,0.054107,2468.632000
1737699399961.000000,4096x4096,2,32,1,32,128,1,32719,28.0,2550,0.054107,2468.632000
1737699399964.000000,4096x4096,2,32,1,32,128,1,32719,28.0,2550,0.054107,2468.632000
1737699399965.000000,4096x4096,2,32,1,32,128,1,32719,28.0,2550,0.054107,2468.632000
1737699399967.000000,4096x4096,2,32,1,32,128,1,32719,28.0,2550,0.054107,2468.632000
1737699399971.000000,4096x4096,2,32,1,32,128,1,32719,29.0,2550,0.054107,2468.632000
1737699399977.000000,4096x4096,2,32,1,32,128,1,32719,29.0,2550,0.054107,2468.632000
1737699399978.000000,4096x4096,2,32,1,32,128,1,32719,29.0,2550,0.054107,2468.632000
1737699399980.000000,4096x4096,2,32,1,32,128,1,32719,29.0,2550,0.054107,2468.632000
1737699399981.000000,4096x4096,2,32,1,32,128,1,32719,29.0,2550,0.054107,2468.632000
1737699399983.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699399992.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699399994.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699399995.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699399997.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699399998.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400000.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400001.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400003.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400014.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400015.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400017.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400018.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400020.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400021.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400023.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400024.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400025.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400027.000000,4096x4096,2,32,1,32,128,1,33750,29.0,2550,0.054107,2468.632000
1737699400029.000000,4096x4096,2,32,2,16,128,1,33750,29.0,2550,0.050420,405.000000
1737699400031.000000,4096x4096,2,32,2,16,128,1,33750,29.0,2550,0.050420,405.000000
1737699400033.000000,4096x4096,2,32,2,16,128,1,33750,29.0,2550,0.050420,405.000000
1737699400034.000000,4096x4096,2,32,2,16,128,1,33750,29.0,2550,0.050420,405.000000
1737699400036.000000,4096x4096,2,32,2,16,128,1,33750,29.0,2550,0.050420,405.000000
1737699400037.000000,4096x4096,2,32,2,16,128,1,33750,29.0,2550,0.050420,405.000000
1737699400038.000000,4096x4096,2,32,2,16,128,1,33750,29.0,2550,0.050420,405.000000
1737699400040.000000,4096x4096,2,32,2,16,128,1,33750,29.0,2550,0.050420,405.000000
1737699400041.000000,4096x4096,2,32,2,16,128,1,33750,29.0,2550,0.050420,405.000000
1737699400043.000000,4096x4096,2,32,4,8,128,1,33750,29.0,2550,0.050419,438.750000
1737699400044.000000,4096x4096,2,32,4,8,128,1,33750,29.0,2550,0.050419,438.750000
1737699400046.000000,4096x4096,2,32,4,8,128,1,33750,29.0,2550,0.050419,438.750000
1737699400048.000000,4096x4096,2,32,4,8,128,1,33750,29.0,2550,0.050419,438.750000
1737699400050.000000,4096x4096,2,32,4,8,128,1,33750,29.0,2550,0.050419,438.750000
1737699400051.000000,4096x4096,2,32,4,8,128,1,33750,29.0,2550,0.050419,438.750000
1737699400053.000000,4096x4096,2,32,4,8,128,1,33750,29.0,2550,0.050419,438.750000
1737699400054.000000,4096x4096,2,32,4,8,128,1,33750,29.0,2550,0.050419,438.750000
1737699400056.000000,4096x4096,2,32,4,8,128,1,33750,29.0,2550,0.050419,438.750000
1737699400057.000000,4096x4096,2,32,8,4,128,1,33750,29.0,2550,0.050419,438.750000
1737699400059.000000,4096x4096,2,32,8,4,128,1,33750,29.0,2550,0.050419,438.750000
1737699400060.000000,4096x4096,2,32,8,4,128,1,33750,29.0,2550,0.050419,438.750000
1737699400062.000000,4096x4096,2,32,8,4,128,1,33750,29.0,2550,0.050419,438.750000
1737699400063.000000,4096x4096,2,32,8,4,128,1,33750,29.0,2550,0.050419,438.750000
1737699400065.000000,4096x4096,2,32,8,4,128,1,33750,29.0,2550,0.050419,438.750000
1737699400067.000000,4096x4096,2,32,8,4,128,1,33750,29.0,2550,0.050419,438.750000
1737699400068.000000,4096x4096,2,32,8,4,128,1,33750,29.0,2550,0.050419,438.750000
1737699400070.000000,4096x4096,2,32,8,4,128,1,33750,29.0,2550,0.050419,438.750000
1737699400072.000000,4096x4096,2,32,16,2,128,1,33750,29.0,2550,0.050433,448.745000
1737699400073.000000,4096x4096,2,32,16,2,128,1,33750,29.0,2550,0.050433,448.745000
1737699400075.000000,4096x4096,2,32,16,2,128,1,33750,29.0,2550,0.050433,448.745000
1737699400076.000000,4096x4096,2,32,16,2,128,1,33750,29.0,2550,0.050433,448.745000
1737699400078.000000,4096x4096,2,32,16,2,128,1,33750,29.0,2550,0.050433,448.745000
1737699400079.000000,4096x4096,2,32,16,2,128,1,33750,29.0,2550,0.050433,448.745000
1737699400080.000000,4096x4096,2,32,16,2,128,1,33750,29.0,2550,0.050433,448.745000
1737699400082.000000,4096x4096,2,32,16,2,128,1,35749,29.0,2550,0.050433,448.745000
1737699400083.000000,4096x4096,2,32,16,2,128,1,35749,29.0,2550,0.050433,448.745000
1737699400085.000000,4096x4096,2,32,16,2,128,1,35749,29.0,2550,0.050433,448.745000
1737699400087.000000,4096x4096,2,32,32,1,128,1,35749,29.0,2550,0.050448,857.976000
1737699400097.000000,4096x4096,2,32,32,1,128,1,35749,29.0,2550,0.050448,857.976000
1737699400098.000000,4096x4096,2,32,32,1,128,1,35749,29.0,2550,0.050448,857.976000
1737699400099.000000,4096x4096,2,32,32,1,128,1,35749,29.0,2550,0.050448,857.976000
1737699400101.000000,4096x4096,2,32,32,1,128,1,35749,29.0,2550,0.050448,857.976000
1737699400102.000000,4096x4096,2,32,32,1,128,1,35749,29.0,2550,0.050448,857.976000
1737699400104.000000,4096x4096,2,32,32,1,128,1,35749,29.0,2550,0.050448,857.976000
1737699400105.000000,4096x4096,2,32,32,1,128,1,35749,29.0,2550,0.050448,857.976000
1737699400107.000000,4096x4096,2,32,32,1,128,1,35749,29.0,2550,0.050448,857.976000
1737699400111.000000,4096x4096,2,32,32,1,128,1,35749,29.0,2550,0.050448,857.976000
1737699400113.000000,4096x4096,2,64,1,64,64,1,35749,29.0,2550,0.050153,464.737000
1737699400114.000000,4096x4096,2,64,1,64,64,1,35749,29.0,2550,0.050153,464.737000
1737699400116.000000,4096x4096,2,64,1,64,64,1,35749,29.0,2550,0.050153,464.737000
1737699400117.000000,4096x4096,2,64,1,64,64,1,35749,29.0,2550,0.050153,464.737000
1737699400118.000000,4096x4096,2,64,1,64,64,1,35749,29.0,2550,0.050153,464.737000
1737699400120.000000,4096x4096,2,64,1,64,64,1,35749,29.0,2550,0.050153,464.737000
1737699400121.000000,4096x4096,2,64,1,64,64,1,35749,29.0,2550,0.050153,464.737000
1737699400123.000000,4096x4096,2,64,1,64,64,1,35749,29.0,2550,0.050153,464.737000
1737699400124.000000,4096x4096,2,64,1,64,64,1,35749,29.0,2550,0.050153,464.737000
1737699400126.000000,4096x4096,2,64,1,64,64,1,35749,29.0,2550,0.050153,464.737000
1737699400128.000000,4096x4096,2,64,2,32,64,1,35749,29.0,2550,0.050147,428.988000
1737699400130.000000,4096x4096,2,64,2,32,64,1,35749,29.0,2550,0.050147,428.988000
1737699400132.000000,4096x4096,2,64,2,32,64,1,35749,29.0,2550,0.050147,428.988000
1737699400133.000000,4096x4096,2,64,2,32,64,1,35749,29.0,2550,0.050147,428.988000
1737699400134.000000,4096x4096,2,64,2,32,64,1,35749,29.0,2550,0.050147,428.988000
1737699400136.000000,4096x4096,2,64,2,32,64,1,35749,29.0,2550,0.050147,428.988000
1737699400137.000000,4096x4096,2,64,2,32,64,1,35749,29.0,2550,0.050147,428.988000
1737699400139.000000,4096x4096,2,64,2,32,64,1,35749,29.0,2550,0.050147,428.988000
1737699400140.000000,4096x4096,2,64,2,32,64,1,35749,29.0,2550,0.050147,428.988000
1737699400142.000000,4096x4096,2,64,4,16,64,1,35749,29.0,2550,0.050156,464.737000
1737699400143.000000,4096x4096,2,64,4,16,64,1,35749,29.0,2550,0.050156,464.737000
1737699400145.000000,4096x4096,2,64,4,16,64,1,35749,29.0,2550,0.050156,464.737000
1737699400147.000000,4096x4096,2,64,4,16,64,1,35749,29.0,2550,0.050156,464.737000
1737699400149.000000,4096x4096,2,64,4,16,64,1,35749,29.0,2550,0.050156,464.737000
1737699400150.000000,4096x4096,2,64,4,16,64,1,35749,29.0,2550,0.050156,464.737000
1737699400152.000000,4096x4096,2,64,4,16,64,1,35749,29.0,2550,0.050156,464.737000
1737699400153.000000,4096x4096,2,64,4,16,64,1,35749,29.0,2550,0.050156,464.737000
1737699400155.000000,4096x4096,2,64,4,16,64,1,35749,29.0,2550,0.050156,464.737000
1737699400156.000000,4096x4096,2,64,8,8,64,1,35749,29.0,2550,0.050153,536.235000
1737699400158.000000,4096x4096,2,64,8,8,64,1,35749,29.0,2550,0.050153,536.235000
1737699400159.000000,4096x4096,2,64,8,8,64,1,35749,29.0,2550,0.050153,536.235000
1737699400161.000000,4096x4096,2,64,8,8,64,1,35749,29.0,2550,0.050153,536.235000
1737699400162.000000,4096x4096,2,64,8,8,64,1,35749,29.0,2550,0.050153,536.235000
1737699400164.000000,4096x4096,2,64,8,8,64,1,35749,29.0,2550,0.050153,536.235000
1737699400165.000000,4096x4096,2,64,8,8,64,1,35749,29.0,2550,0.050153,536.235000
1737699400167.000000,4096x4096,2,64,8,8,64,1,35749,29.0,2550,0.050153,536.235000
1737699400169.000000,4096x4096,2,64,8,8,64,1,35749,29.0,2550,0.050153,536.235000
1737699400171.000000,4096x4096,2,64,8,8,64,1,35749,29.0,2550,0.050153,536.235000
1737699400172.000000,4096x4096,2,64,16,4,64,1,35749,29.0,2550,0.050151,509.511000
1737699400174.000000,4096x4096,2,64,16,4,64,1,35749,29.0,2550,0.050151,509.511000
1737699400175.000000,4096x4096,2,64,16,4,64,1,35749,29.0,2550,0.050151,509.511000
1737699400177.000000,4096x4096,2,64,16,4,64,1,35749,29.0,2550,0.050151,509.511000
1737699400178.000000,4096x4096,2,64,16,4,64,1,35749,29.0,2550,0.050151,509.511000
1737699400180.000000,4096x4096,2,64,16,4,64,1,35749,29.0,2550,0.050151,509.511000
1737699400181.000000,4096x4096,2,64,16,4,64,1,35749,29.0,2550,0.050151,509.511000
1737699400183.000000,4096x4096,2,64,16,4,64,1,37554,29.0,2550,0.050151,509.511000
1737699400184.000000,4096x4096,2,64,16,4,64,1,37554,29.0,2550,0.050151,509.511000
1737699400186.000000,4096x4096,2,64,16,4,64,1,37554,29.0,2550,0.050151,509.511000
1737699400188.000000,4096x4096,2,64,32,2,64,1,37554,29.0,2550,0.050154,488.202000
1737699400189.000000,4096x4096,2,64,32,2,64,1,37554,29.0,2550,0.050154,488.202000
1737699400191.000000,4096x4096,2,64,32,2,64,1,37554,29.0,2550,0.050154,488.202000
1737699400193.000000,4096x4096,2,64,32,2,64,1,37554,29.0,2550,0.050154,488.202000
1737699400194.000000,4096x4096,2,64,32,2,64,1,37554,29.0,2550,0.050154,488.202000
1737699400196.000000,4096x4096,2,64,32,2,64,1,37554,29.0,2550,0.050154,488.202000
