timestamp_ms,matrix_size,impl,threads,blockX,blockY,gridX,gridY,power_mW,temp_c,clock_MHz,time_ms,energy_mJ
1737736936959.000000,16384x16384,3,32,1,32,512,1,21561,30.0,210,3.732778,15807.447000
1737736936961.000000,16384x16384,3,32,1,32,512,1,21561,30.0,210,3.732778,15807.447000
1737736936962.000000,16384x16384,3,32,1,32,512,1,21561,30.0,210,3.732778,15807.447000
1737736936964.000000,16384x16384,3,32,1,32,512,1,21561,30.0,210,3.732778,15807.447000
1737736936965.000000,16384x16384,3,32,1,32,512,1,21561,30.0,210,3.732778,15807.447000
1737736936967.000000,16384x16384,3,32,1,32,512,1,21561,30.0,210,3.732778,15807.447000
1737736936968.000000,16384x16384,3,32,1,32,512,1,21561,30.0,210,3.732778,15807.447000
1737736936971.000000,16384x16384,3,32,1,32,512,1,21561,30.0,210,3.732778,15807.447000
1737736936979.000000,16384x16384,3,32,1,32,512,1,21454,30.0,210,3.732778,15807.447000
1737736936981.000000,16384x16384,3,32,1,32,512,1,21454,30.0,210,3.732778,15807.447000
1737736936988.000000,16384x16384,3,32,1,32,512,1,21454,30.0,210,3.732778,15807.447000
1737736936989.000000,16384x16384,3,32,1,32,512,1,21454,30.0,210,3.732778,15807.447000
1737736936991.000000,16384x16384,3,32,1,32,512,1,21454,30.0,210,3.732778,15807.447000
1737736936993.000000,16384x16384,3,32,1,32,512,1,21454,30.0,210,3.732778,15807.447000
1737736936995.000000,16384x16384,3,32,1,32,512,1,21454,30.0,210,3.732778,15807.447000
1737736936996.000000,16384x16384,3,32,1,32,512,1,21454,30.0,210,3.732778,15807.447000
1737736936998.000000,16384x16384,3,32,1,32,512,1,21454,30.0,2550,3.732778,15807.447000
1737736937013.000000,16384x16384,3,32,1,32,512,1,21454,30.0,2550,3.732778,15807.447000
1737736937015.000000,16384x16384,3,32,1,32,512,1,21454,30.0,2550,3.732778,15807.447000
1737736937016.000000,16384x16384,3,32,1,32,512,1,21454,30.0,2550,3.732778,15807.447000
1737736937018.000000,16384x16384,3,32,1,32,512,1,21629,30.0,2550,3.732778,15807.447000
1737736937019.000000,16384x16384,3,32,1,32,512,1,21629,30.0,2550,3.732778,15807.447000
1737736937021.000000,16384x16384,3,32,1,32,512,1,21629,30.0,2550,3.732778,15807.447000
1737736937029.000000,16384x16384,3,32,1,32,512,1,21629,30.0,2550,3.732778,15807.447000
1737736937035.000000,16384x16384,3,32,1,32,512,1,21629,30.0,2550,3.732778,15807.447000
1737736937036.000000,16384x16384,3,32,1,32,512,1,21629,30.0,2550,3.732778,15807.447000
