timestamp_ms,matrix_size,impl,threads,blockX,blockY,gridX,gridY,power_mW,temp_c,clock_MHz,time_ms,energy_mJ
1737700647931.000000,8192x8192,1,32,1,32,256,1,64198,30.0,2760,1.842208,16893.102000
1737700647933.000000,8192x8192,1,32,1,32,256,1,64198,30.0,2760,1.842208,16893.102000
1737700647934.000000,8192x8192,1,32,1,32,256,1,64198,30.0,2760,1.842208,16893.102000
1737700647935.000000,8192x8192,1,32,1,32,256,1,64198,30.0,2760,1.842208,16893.102000
1737700647937.000000,8192x8192,1,32,1,32,256,1,64198,30.0,2760,1.842208,16893.102000
1737700647939.000000,8192x8192,1,32,1,32,256,1,64198,30.0,2760,1.842208,16893.102000
1737700647940.000000,8192x8192,1,32,1,32,256,1,64198,30.0,2760,1.842208,16893.102000
1737700647942.000000,8192x8192,1,32,1,32,256,1,64198,30.0,2760,1.842208,16893.102000
1737700647949.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647951.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647958.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647960.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647961.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647963.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647964.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647970.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647972.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647974.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647975.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647977.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647979.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647981.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647987.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647988.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647990.000000,8192x8192,1,32,1,32,256,1,62873,30.0,2760,1.842208,16893.102000
1737700647991.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700647993.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700647995.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700647997.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700647999.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700648000.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700648002.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700648003.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700648005.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700648006.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700648007.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700648009.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700648010.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700648012.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700648013.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700648015.000000,8192x8192,1,32,1,32,256,1,63185,30.0,2760,1.842208,16893.102000
1737700648017.000000,8192x8192,1,32,1,32,256,1,63185,31.0,2760,1.842208,16893.102000
1737700648018.000000,8192x8192,1,32,1,32,256,1,63185,31.0,2760,1.842208,16893.102000
1737700648020.000000,8192x8192,1,32,1,32,256,1,63185,31.0,2760,1.842208,16893.102000
1737700648021.000000,8192x8192,1,32,1,32,256,1,63185,31.0,2760,1.842208,16893.102000
1737700648023.000000,8192x8192,1,32,1,32,256,1,63185,31.0,2760,1.842208,16893.102000
