n_steps,beamsize,nhead,dim_per_head,block_x,block_y,thread_count,predicted_time_ns,actual_time_ns,predicted_power,actual_power,mem_coal,mem_uncoal,mem_partial,local_insts,shared_insts,synch_insts,fp_insts,int_insts,sfu_insts,alu_insts,total_insts,registers_per_thread,shared_mem_bytes
9,4,16,256,64,4,256,3492844.1809345367,21824.00021702051,221.47517711499518,80.677,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,64,8,512,6633514.038630478,22809.59952622652,215.16602213706665,80.643,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,64,16,1024,8384987.101627189,25126.399844884872,209.76467769638015,80.874,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,128,1,128,2008116.998986873,21567.999944090843,238.184540303684,80.43,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,128,2,256,3834996.255665278,22041.599825024605,230.223894334283,80.458,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,128,4,512,7317748.45987434,22534.399665892124,223.98227655883136,80.706,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,128,8,1024,9297253.234500716,25452.80009508133,218.6181857069306,80.804,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,256,1,256,4177148.3303960217,21145.600080490112,238.99734988968805,80.976,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,256,2,512,8001982.881118203,21081.60052448511,232.8128059152114,80.896,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,256,4,1024,10209519.36737424,23110.400140285492,227.47995322325886,81.253,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,512,1,512,8406070.010089887,21299.199759960175,241.7122717343293,80.985,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,512,2,1024,11121785.500247769,21548.799611628056,236.34794778374413,80.853,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,1024,1,1024,11204407.853073351,21875.199861824512,244.4676426375231,80.992,0,0,81,0,1,2,0,6,0,98,188,32,0
