block_size_x,block_size_y,nvml_pwr_limit,sm__warps_active.avg.pct_of_peak_sustained_active,sm__sass_inst_executed_op_shared_ld.avg.per_cycle_active,time,times,nvml_power,nvml_energy,compile_time,verification_time,benchmark_time,Joules/token,SM_Utilization,strategy_time,framework_time,timestamp,label,batch_size,seq_len,nhead,dim_per_head
1,32,100,2.0833333333333335,0.027679536814202505,0.009033142988170897,"[0.003903999924659729, 0.013632000423967838, 0.010751999914646149, 0.008511999621987343, 0.009440000168979168, 0.00886400043964386, 0.008128000423312187]",0,0,1189.636425115168,0,732.3820432648063,0.0,2.0833333333333335,0,0.0,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,32,115,2.0833333333333335,0.02795153564384334,0.00915657143507685,"[0.003903999924659729, 0.01360000018030405, 0.0098879998549819, 0.009664000011980534, 0.008736000396311283, 0.009184000082314014, 0.009119999594986439]",0,0,1212.354552000761,0,731.5833400934935,0.0,2.0833333333333335,0,51.775470841676,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,32,135,2.0833333333333335,0.027790033967153415,0.009019428598029273,"[0.003903999924659729, 0.013407999649643898, 0.01056000031530857, 0.009472000412642956, 0.009312000125646591, 0.007903999648988247, 0.008576000109314919]",0,0,1201.4183099381626,0,739.6749639883637,0.0,2.0833333333333335,0,54.34175720438361,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,32,150,2.083333333333333,0.027882399235482604,0.008969142966504608,"[0.003967999946326017, 0.013632000423967838, 0.010623999871313572, 0.009920000098645687, 0.00848000030964613, 0.008352000266313553, 0.007807999849319458]",0,0,1220.472774002701,0,746.4525927789509,0.0,2.083333333333333,0,46.503566205501556,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,32,165,2.083333333333333,0.027783807249837204,0.00898742862045765,"[0.004031999967992306, 0.013439999893307686, 0.009920000098645687, 0.009664000011980534, 0.009344000369310379, 0.008287999778985977, 0.008224000222980976]",0,0,1212.9041110165417,0,742.5774722360075,0.0,2.083333333333333,0,51.11033981665969,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,32,185,2.083333333333333,0.027704853935094677,0.008676571505410331,"[0.004031999967992306, 0.012992000207304955, 0.01017600018531084, 0.008767999708652496, 0.008832000195980072, 0.007840000092983246, 0.0080960001796484]",0,0,1216.851192060858,0,767.3174743540585,0.0,2.083333333333333,0,52.655852399766445,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,32,200,2.0833333333333335,0.027689774043628143,0.009033142855124814,"[0.004064000211656094, 0.013472000136971474, 0.011264000087976456, 0.008767999708652496, 0.009056000038981438, 0.00854399986565113, 0.008063999935984612]",0,0,1216.7217410169542,0,732.9350630752742,0.0,2.0833333333333335,0,52.28422163054347,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,32,215,2.083333333333333,0.02776358967541509,0.00869942842317479,"[0.003903999924659729, 0.014047999866306782, 0.009983999654650688, 0.008736000396311283, 0.00825599953532219, 0.007807999849319458, 0.0081599997356534]",0,0,1217.9820840246975,0,762.7960401587188,0.0,2.083333333333333,0,56.37847352772951,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,32,235,2.083333333333333,0.02781029008767811,0.008731428666838579,"[0.003936000168323517, 0.013791999779641628, 0.010080000385642052, 0.008608000352978706, 0.008128000423312187, 0.008320000022649765, 0.00825599953532219]",0,0,1217.1948407776654,0,758.8257468305528,0.0,2.083333333333333,0,55.49616273492575,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,32,250,2.0833333333333335,0.02776106454727357,0.008863999973982573,"[0.003903999924659729, 0.013279999606311321, 0.01056000031530857, 0.009759999811649323, 0.008448000065982342, 0.008320000022649765, 0.0077760000713169575]",0,0,1217.4428720027208,0,752.7021300047636,0.0,2.0833333333333335,0,53.00877429544926,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,64,100,4.1635664038797415,0.0549291582743274,0.009056000038981438,"[0.004031999967992306, 0.01369599997997284, 0.010816000401973724, 0.009535999968647957, 0.00854399986565113, 0.00854399986565113, 0.008224000222980976]",0,0,1210.8177612535655,0,737.910354975611,0.0,4.1635664038797415,0,53.067474626004696,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,64,115,4.163693239292197,0.05498357975251847,0.008937142922409944,"[0.003903999924659729, 0.013407999649643898, 0.010304000228643417, 0.008767999708652496, 0.009440000168979168, 0.008736000396311283, 0.00800000037997961]",0,0,1217.9407416842878,0,742.5635103136301,0.0,4.163693239292197,0,51.695029716938734,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
