seq_len,batch_size,nhead,dim_per_head,block_x,block_y,thread_count,predicted_time_ns,actual_time_ns,predicted_power,actual_power,mem_coal,mem_uncoal,mem_partial,local_insts,shared_insts,synch_insts,fp_insts,int_insts,sfu_insts,alu_insts,total_insts,registers_per_thread,shared_mem_bytes
1024,4,16,256,32,2,64,1844530.8972942557,37056.00015819073,41931904.63598055,96.242,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,4,128,3648733.383100738,42598.40026497841,41760627.757669605,96.249,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,8,256,7227672.009336059,57094.40037608147,41589350.879358664,96.3,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,16,512,14326604.587257288,91091.19921922684,41418074.00104772,96.361,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,32,1024,18940833.11254442,164659.1991186142,27497931.36985152,97.346,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,64,1,64,1874033.1940543056,35872.00008332729,42274458.39260242,95.986,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,64,2,128,3707714.009032566,42259.2006623745,42103181.51429149,96.123,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,64,4,256,7345609.293611443,56492.80026555061,41931904.63598055,96.076,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,64,8,512,14562455.188219778,91340.79813957214,41760627.757669605,96.29,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,64,16,1024,19255284.68690782,164358.40129852295,27726300.944056235,96.557,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,128,1,128,3766694.6349643935,43596.80116176605,42445735.27091338,96.696,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,128,2,256,7463546.5778868245,55891.1994099617,42274458.39260242,96.861,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,128,4,512,14798305.78918227,90937.59953975677,42103181.51429149,96.49000000000001,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,128,8,1024,19569736.261271227,164607.99872875214,27954670.51826095,96.6,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,256,1,256,7581483.862162206,56051.19988322258,42617012.14922432,97.483,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,256,2,512,15034156.390144762,90751.99961662292,42445735.27091338,97.352,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,256,4,1024,19884187.835634634,164332.79812335968,28183040.092465665,97.562,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,512,1,512,15270006.991107253,81299.20214414597,42788289.02753525,98.03800000000001,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,512,2,1024,20198639.409998033,140812.79635429382,28411409.666670386,97.395,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,1024,1,1024,20513090.98436144,131110.40145158768,28639779.240875103,97.9175,0,0,12,0,1,6,4,16,1,183,223,32,0
