seq_len,batch_size,nhead,dim_per_head,block_x,block_y,thread_count,predicted_time_ns,actual_time_ns,predicted_power,actual_power,mem_coal,mem_uncoal,mem_partial,local_insts,shared_insts,synch_insts,fp_insts,int_insts,sfu_insts,alu_insts,total_insts,registers_per_thread,shared_mem_bytes
1024,4,16,256,1,32,32,903458.3315796804,31743.99994313717,259.0664370824286,112.192,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,1,64,64,2681512.602680989,32000.000029802322,251.39172557118803,125.423,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,1,128,128,5343616.813324249,31891.200318932533,247.48510529068102,145.013,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,1,256,256,10667825.234610775,35308.799892663956,245.52113394962805,183.979,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,1,512,512,21316242.077183817,47584.00022983551,244.53646599165137,209.849,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,1,1024,1024,28411868.50822672,79244.80140209198,244.04340457068014,208.539,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,2,16,32,903287.6077258989,32454.400137066837,259.0693697312833,101.731,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,2,32,64,2681257.8689043145,31897.60036766529,251.3924705765629,109.594,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,2,64,128,5343362.079547576,32723.200321197506,247.48529288855872,123.845,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,2,128,256,10667570.500834098,35795.1994985342,245.52118101878483,136.42,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,2,256,512,21315987.343407143,48121.59910798073,244.53647778023793,149.637,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,2,512,1024,28411697.784372933,78880.00160455704,244.0434075354928,154.14,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,4,8,32,894483.6305975737,31750.399991869926,259.2221194767523,96.713,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,4,16,64,2680748.401350967,32121.600210666656,251.3939610120703,101.558,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,4,32,128,5342852.611994227,31961.600109934803,247.48566813797913,109.616,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,4,64,256,10667061.03328075,36806.3997477293,245.52127516384263,116.697,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,4,128,512,21315477.875853796,49971.19903564453,244.53650135825626,125.265,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,4,256,1024,28411356.336665373,82240.00185728073,244.04341346522511,125.267,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,8,4,32,731385.000224783,32153.600081801418,246.0926622189055,96.03,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,8,8,64,2109555.6797741195,32800.00016093254,235.08096682427157,96.163,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,8,16,128,4321350.262812119,34003.20038199425,232.93207705142004,98.734,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,8,32,256,8862669.414476793,39142.40002632141,233.08657886182147,103.844,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,8,64,512,18180951.020081937,55980.800837278366,234.3854960487066,106.68,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,8,128,1024,24862464.142640248,93593.5989022255,236.2508237751481,106.798,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,16,2,32,668938.5416021865,32908.80024433136,229.70351768059254,95.807,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,16,4,64,1953908.143790654,34444.79964673519,219.91837669387138,96.01,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,16,8,128,3834895.782931799,35782.40014612675,214.3028098522766,95.975,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,16,16,256,7537983.50243277,44748.8009929657,210.8622129804403,96.44800000000001,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,16,32,512,15298106.190182744,67180.80043792725,210.9266674257824,96.992,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,16,64,1024,20705871.22382367,117286.39900684357,211.5672254860104,97.285,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,1,32,626498.4270839912,34060.799703001976,220.45708768210477,95.964,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,2,64,1844530.8972942557,37875.20043551922,211.1977198086853,95.982,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,4,128,3648733.383100738,42540.80057144165,206.16644416976095,95.877,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,8,256,7227672.009336059,57440.00002741814,203.3299830349527,96.214,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,16,512,14326604.587257288,91443.19891929626,201.60248238519284,95.964,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,32,1024,18940833.11254442,165311.998128891,200.4334025498302,96.233,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,64,1,64,1874033.1940543056,35596.79947793484,212.3384277843374,96.001,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,64,2,128,3707714.009032566,42502.400279045105,207.34064764148832,95.915,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,64,4,256,7345609.293611443,57113.60052227974,204.52141142585094,95.768,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,64,8,512,14562455.188219778,91551.99825763702,202.802716034399,95.98349999999999,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,64,16,1024,19255284.68690782,164070.39761543274,201.63812653112223,96.03,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,128,1,128,3766694.6349643935,43564.800918102264,208.51595243242053,95.918,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,128,2,256,7463546.5778868245,55718.400329351425,205.71340684746656,95.811,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,128,4,512,14798305.78918227,91148.79816770554,204.00324092027927,96.021,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,128,8,1024,19569736.261271227,164505.60092926025,202.84299983165,96.059,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,256,1,256,7581483.862162206,56518.399715423584,206.90594283767263,96.141,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,256,2,512,15034156.390144762,91302.39933729172,205.20404333637572,96.219,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,256,4,1024,19884187.835634634,164921.5966463089,204.04801536734215,96.333,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,512,1,512,15270006.991107253,81510.40226221085,206.40511042303427,96.402,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,512,2,1024,20198639.409998033,141081.59840106964,205.25316649526536,96.323,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,1024,1,1024,20513090.98436144,131871.99980020523,206.45844697981272,96.377,0,0,12,0,1,6,4,16,1,183,223,32,0
