seq_len,batch_size,nhead,dim_per_head,block_x,block_y,thread_count,predicted_time_ns,actual_time_ns,predicted_power,actual_power,mem_coal,mem_uncoal,mem_partial,local_insts,shared_insts,synch_insts,fp_insts,int_insts,sfu_insts,alu_insts,total_insts,registers_per_thread,shared_mem_bytes
128,4,16,256,64,4,256,4514138.216709496,29952.000454068184,3577.3173848978377,65.589,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,64,8,512,8987196.903722115,55980.80009222031,3566.1981503008387,65.778,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,64,16,1024,11939807.923532689,107980.7996749878,3555.078915703841,64.828,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,128,1,128,2284734.652835813,27328.000217676163,3610.6750886888317,63.422,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,128,2,256,4542562.517942709,39731.20003938675,3599.5558540918337,65.489,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,128,4,512,9044025.801864216,65958.40081572533,3588.436619494835,65.314,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,128,8,1024,12015566.741052762,108543.9994931221,3577.3173848978377,65.301,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,256,1,256,4570986.819175922,17817.600443959236,3621.79432328583,65.487,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,256,2,512,9100854.700006321,32563.19984793663,3610.6750886888317,66.128,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,256,4,1024,12091325.558572836,59296.00074887276,3599.5558540918337,65.28,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,512,1,512,9157683.598148424,17817.600443959236,3632.913557882828,66.025,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,512,2,1024,12167084.376092909,41580.80071210861,3621.79432328583,66.312,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,1024,1,1024,12242843.19361298,24812.80006468296,3644.0327924798257,66.603,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,1,32,32,724483.3280597855,9011.20025664568,4576.782620462798,79.711,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,1,64,64,2136911.1738183647,18355.200439691544,4576.782620462798,90.188,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,1,128,128,4247032.84600654,9260.800294578075,4576.782620462798,104.743,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,1,256,256,8467276.190382887,20985.600352287292,4576.782620462798,137.009,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,1,512,512,16907762.879135583,25996.799767017365,4576.782620462798,161.372,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,1,1024,1024,22529073.94067092,39423.999190330505,4576.782620462798,139.539,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,2,16,32,724210.5819848926,18771.199695765972,4576.782620462798,109.416,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,2,32,64,2136504.2520567174,22719.999961555004,4576.782620462798,103.648,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,2,64,128,4246625.924244891,9420.80020904541,4576.782620462798,129.339,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,2,128,256,8466869.26862124,20236.80005222559,4576.782620462798,88.945,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,2,256,512,16907355.957373932,25567.999482154846,4576.782620462798,107.364,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,2,512,1024,22528801.19459602,38636.79990172386,4576.782620462798,107.892,0,0,12,0,1,6,4,16,1,248,288,32,0
