Kernel,BlockX,BlockY,ThreadCount,GridX,GridY,DataSize,EstTime(ns),ActTime(ns),DiffTime(%),WarpsPerSM,PredictedPower(W),ActualPower(W)
matMul.cu,1,32,32,256,1,131072,38157.61,57248.00,33.35,1.00,198.43,24.05
matMul.cu,2,16,32,256,1,131072,38157.61,54272.00,29.69,1.00,198.43,44.48
matMul.cu,4,8,32,256,1,131072,38157.61,45216.00,15.61,1.00,198.43,33.28
matMul.cu,8,4,32,256,1,131072,38157.61,35840.00,6.47,1.00,198.43,40.02
matMul.cu,16,2,32,256,1,131072,38157.61,61440.00,37.89,1.00,198.43,27.60
matMul.cu,32,1,32,256,1,131072,38157.61,61008.00,37.45,1.00,181.69,33.23
matMul.cu,1,64,64,256,1,131072,66708.83,61424.00,8.60,2.00,199.42,40.04
matMul.cu,2,32,64,256,1,131072,66708.83,62896.00,6.06,2.00,199.42,27.59
matMul.cu,4,16,64,256,1,131072,66708.83,54272.00,22.92,2.00,199.42,33.26
matMul.cu,8,8,64,256,1,131072,66708.83,62368.00,6.96,2.00,199.42,40.37
matMul.cu,16,4,64,256,1,131072,66708.83,61440.00,8.58,2.00,199.42,27.69
matMul.cu,32,2,64,256,1,131072,66708.83,61344.00,8.75,2.00,174.97,33.52
matMul.cu,64,1,64,256,1,131072,66708.83,54272.00,22.92,2.00,190.18,40.40
matMul.cu,1,128,128,256,1,131072,123811.26,72160.00,71.58,4.00,200.03,27.76
matMul.cu,2,64,128,256,1,131072,123811.26,64512.00,91.92,4.00,200.03,33.91
matMul.cu,4,32,128,256,1,131072,123811.26,54672.00,126.46,4.00,200.03,39.85
matMul.cu,8,16,128,256,1,131072,123811.26,54272.00,128.13,4.00,200.03,27.70
matMul.cu,16,8,128,256,1,131072,123811.26,33792.00,266.39,4.00,200.03,33.76
matMul.cu,32,4,128,256,1,131072,123811.26,59632.00,107.63,4.00,167.85,40.61
matMul.cu,64,2,128,256,1,131072,123811.26,61440.00,101.52,4.00,183.12,28.03
matMul.cu,128,1,128,256,1,131072,123811.26,54048.00,129.08,4.00,198.40,34.14
matMul.cu,1,256,256,256,1,131072,238016.11,114688.00,107.53,8.00,200.37,41.06
matMul.cu,2,128,256,256,1,131072,238016.11,67584.00,252.18,8.00,200.37,28.05
matMul.cu,4,64,256,256,1,131072,238016.11,60064.00,296.27,8.00,200.37,34.31
matMul.cu,8,32,256,256,1,131072,238016.11,67552.00,252.35,8.00,200.37,41.57
matMul.cu,16,16,256,256,1,131072,238016.11,58368.00,307.79,8.00,200.37,28.88
matMul.cu,32,8,256,256,1,131072,238016.11,58224.00,308.79,8.00,160.47,34.79
matMul.cu,64,4,256,256,1,131072,238016.11,58368.00,307.79,8.00,175.78,41.62
matMul.cu,128,2,256,256,1,131072,238016.11,65536.00,263.18,8.00,191.08,28.84
matMul.cu,256,1,256,256,1,131072,238016.11,55216.00,331.06,8.00,200.37,34.57
matMul.cu,1,512,512,256,1,131072,466425.82,175104.01,166.37,16.00,200.55,41.17
matMul.cu,2,256,512,256,1,131072,466425.82,103072.00,352.52,16.00,200.55,27.64
matMul.cu,4,128,512,256,1,131072,466425.82,81408.00,472.95,16.00,200.55,34.90
matMul.cu,8,64,512,256,1,131072,466425.82,65536.00,611.71,16.00,200.55,41.56
matMul.cu,16,32,512,256,1,131072,466425.82,74752.00,523.96,16.00,200.55,28.87
matMul.cu,32,16,512,256,1,131072,466425.82,66608.00,600.25,16.00,152.95,35.22
matMul.cu,64,8,512,256,1,131072,466425.82,65568.00,611.36,16.00,168.27,41.78
matMul.cu,128,4,512,256,1,131072,466425.82,65536.00,611.71,16.00,183.59,29.32
matMul.cu,256,2,512,256,1,131072,466425.82,63360.00,636.15,16.00,198.91,35.24
matMul.cu,512,1,512,256,1,131072,466425.82,54192.00,760.69,16.00,200.55,42.62
matMul.cu,1,1024,1024,256,1,131072,923245.24,164784.00,460.28,32.00,200.64,29.53
matMul.cu,2,512,1024,256,1,131072,923245.24,105984.00,771.12,32.00,200.64,35.94
matMul.cu,4,256,1024,256,1,131072,923245.24,55280.00,1570.13,32.00,200.64,43.03
matMul.cu,8,128,1024,256,1,131072,923245.24,65536.00,1308.76,32.00,200.64,29.46
matMul.cu,16,64,1024,256,1,131072,923245.24,64624.00,1328.64,32.00,200.64,35.96
matMul.cu,32,32,1024,256,1,131072,923245.24,72704.00,1169.87,32.00,145.35,44.02
matMul.cu,64,16,1024,256,1,131072,923245.24,64512.00,1331.12,32.00,160.68,29.38
matMul.cu,128,8,1024,256,1,131072,923245.24,72704.00,1169.87,32.00,176.01,36.04
matMul.cu,256,4,1024,256,1,131072,923245.24,65024.00,1319.85,32.00,191.34,43.50
matMul.cu,512,2,1024,256,1,131072,923245.24,60416.00,1428.15,32.00,200.64,29.44
matMul.cu,1024,1,1024,256,1,131072,923245.24,62464.00,1378.04,32.00,200.64,36.12
