Kernel,BlockX,BlockY,ThreadCount,GridX,GridY,DataSize,EstTime(ns),ActTime(ns),DiffTime(%),WarpsPerSM,PredictedPower(W),ActualPower(W),MemCoal,MemUncoal,MemPartial,LocalInsts,SharedInsts,SynchInsts,FpInsts,IntInsts,SfuInsts,AluInsts,TotalInsts,RegsPerThread,SharedMemBytes
convolution.cu,1,32,32,256,1,131072,11724614.46,49152.00,23753.79,1.00,191.96,24.64,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,2,16,32,256,1,131072,11480826.23,57808.00,19760.27,1.00,191.97,46.04,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,4,8,32,256,1,131072,10993249.75,56320.00,19419.26,1.00,191.99,31.77,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,8,4,32,256,1,131072,10018096.80,49072.00,20315.10,1.00,192.03,37.92,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,16,2,32,256,1,131072,8067790.91,28672.00,28038.22,1.00,192.14,43.16,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,32,1,32,256,1,131072,3529297.66,44032.00,7915.30,1.00,176.73,29.98,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,1,64,64,256,1,131072,23439642.60,58320.00,40091.43,2.00,191.96,35.29,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,2,32,64,256,1,131072,22952066.13,57248.00,39992.35,2.00,191.97,40.63,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,4,16,64,256,1,131072,21976913.18,49248.00,44524.99,2.00,191.99,45.65,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,8,8,64,256,1,131072,20026607.28,35840.00,55777.81,2.00,192.03,32.25,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,16,4,64,256,1,131072,16125995.49,49152.00,32708.42,2.00,192.14,37.96,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,32,2,64,256,1,131072,6472642.56,56816.00,11292.29,2.00,169.52,41.80,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,64,1,64,256,1,131072,7625369.27,57248.00,13219.89,2.00,183.94,28.51,50,0,0,0,0,0,0,0,0,3,53,32,0
