Kernel,BlockX,BlockY,ThreadCount,GridX,GridY,DataSize,EstTime(ns),ActTime(ns),DiffTime(%),WarpsPerSM,PredictedPower(W),ActualPower(W),MemCoal,MemUncoal,MemPartial,LocalInsts,SharedInsts,SynchInsts,FpInsts,IntInsts,SfuInsts,AluInsts,TotalInsts,RegsPerThread,SharedMemBytes
convolution.cu,32,16,512,256,1,131072,248719382.43,59392.00,418675.89,16.00,146.75,53.18,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,64,8,512,256,1,131072,309280781.80,57472.00,538041.67,16.00,161.22,53.71,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,128,4,512,256,1,131072,369842181.16,49312.00,749904.43,16.00,175.70,53.03,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,256,2,512,256,1,131072,430403580.53,58368.00,737296.47,16.00,190.18,52.92,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,512,1,512,256,1,131072,436867759.09,57856.00,754994.98,16.00,191.73,53.43,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,1,1024,1024,256,1,131072,1747442228.61,84608.00,2065239.25,32.00,191.64,53.67,1,49,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,2,512,1024,256,1,131072,1747442225.74,84992.00,2055907.91,32.00,191.64,53.64,3,47,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,4,256,1024,256,1,131072,1747442220.01,61952.00,2820538.98,32.00,191.64,53.71,6,44,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,8,128,1024,256,1,131072,1747442208.54,41936.00,4166826.21,32.00,191.64,53.82,12,38,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,16,64,1024,256,1,131072,1747442185.60,57184.00,3055723.65,32.00,191.64,53.54,25,25,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,32,32,1024,256,1,131072,873725873.06,57872.00,1509655.77,32.00,139.40,53.90,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,64,16,1024,256,1,131072,1115971459.79,56320.00,1981383.40,32.00,153.88,53.93,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,128,8,1024,256,1,131072,1358217046.53,24848.00,5466002.05,32.00,168.36,53.92,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,256,4,1024,256,1,131072,1600462633.27,56368.00,2839210.62,32.00,182.85,53.84,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,512,2,1024,256,1,131072,1747442139.71,48272.00,3619891.27,32.00,191.64,53.86,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,1024,1,1024,256,1,131072,1747442139.71,56368.00,3099960.52,32.00,191.64,53.39,50,0,0,0,0,0,0,0,0,3,53,32,0
laplace3d.cu,1,32,32,256,1,131072,2271088.21,49184.00,4517.53,1.00,192.15,53.36,0,8,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,2,16,32,256,1,131072,2232083.66,57376.00,3790.27,1.00,192.16,53.25,0,8,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,4,8,32,256,1,131072,2154083.23,57344.00,3656.42,1.00,192.18,53.43,1,7,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,8,4,32,256,1,131072,1998072.13,59392.00,3264.21,1.00,192.23,53.60,2,6,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,16,2,32,256,1,131072,1686045.21,49152.00,3330.27,1.00,192.36,53.44,4,4,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,32,1,32,256,1,131072,900511.74,57344.00,1470.37,1.00,176.87,53.41,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,1,64,64,256,1,131072,4532779.13,58368.00,7665.86,2.00,192.15,53.70,0,8,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,2,32,64,256,1,131072,4454770.04,49136.00,8966.20,2.00,192.16,53.53,0,8,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,4,16,64,256,1,131072,4298769.17,60256.00,7034.18,2.00,192.18,53.35,1,7,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,8,8,64,256,1,131072,3986746.97,57344.00,6852.33,2.00,192.23,53.36,2,6,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,16,4,64,256,1,131072,3362693.13,57424.00,5755.90,2.00,192.36,53.42,4,4,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,32,2,64,256,1,131072,1645690.70,59392.00,2670.90,2.00,169.67,53.33,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,64,1,64,256,1,131072,1937497.53,60384.00,3108.63,2.00,184.08,53.47,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,1,128,128,256,1,131072,9056160.97,59312.00,15168.68,4.00,192.15,53.74,0,8,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,2,64,128,256,1,131072,8900142.79,59888.00,14761.31,4.00,192.16,54.02,0,8,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,4,32,128,256,1,131072,8588141.05,57456.00,14847.34,4.00,192.18,53.68,1,7,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,8,16,128,256,1,131072,7964096.65,49152.00,16103.00,4.00,192.23,53.81,2,6,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,16,8,128,256,1,131072,6862507.16,48368.00,14088.11,4.00,192.34,53.77,4,4,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,32,4,128,256,1,131072,3102508.32,56704.00,5371.41,4.00,162.43,54.07,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,64,2,128,256,1,131072,3708159.55,49152.00,7444.27,4.00,176.83,53.85,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,128,1,128,256,1,131072,4313810.78,58272.00,7302.89,4.00,191.25,54.23,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,1,256,256,256,1,131072,27419666.72,50080.00,54651.73,8.00,191.95,54.06,0,8,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,2,128,256,256,1,131072,27419647.68,49184.00,55649.12,8.00,191.95,53.98,0,8,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,4,64,256,256,1,131072,27419609.59,57328.00,47729.35,8.00,191.95,54.05,1,7,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,8,32,256,256,1,131072,27419533.42,59376.00,46079.49,8.00,191.95,54.12,2,6,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,16,16,256,256,1,131072,27419381.06,49152.00,55684.87,8.00,191.95,53.84,4,4,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,32,8,256,256,1,131072,11169396.48,58368.00,19036.16,8.00,154.51,53.94,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,64,4,256,256,1,131072,13591889.59,58368.00,23186.54,8.00,168.95,53.79,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,128,2,256,256,1,131072,16014382.69,57344.00,27826.87,8.00,183.40,54.05,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,256,1,256,256,1,131072,17484200.35,33216.00,52537.89,8.00,192.17,53.88,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,1,512,512,256,1,131072,109647162.32,57536.00,190471.41,16.00,191.75,53.56,0,8,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,2,256,512,256,1,131072,109647143.28,49168.00,222905.09,16.00,191.75,54.27,0,8,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,4,128,512,256,1,131072,109647105.19,49136.00,223050.24,16.00,191.75,53.94,1,7,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,8,64,512,256,1,131072,109647029.02,57344.00,191109.24,16.00,191.75,54.15,2,6,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,16,32,512,256,1,131072,109646876.66,58368.00,187754.43,16.00,191.75,54.14,4,4,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,32,16,512,256,1,131072,39803321.29,57344.00,69311.48,16.00,146.92,53.86,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,64,8,512,256,1,131072,49493181.89,57344.00,86209.26,16.00,161.38,53.62,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,128,4,512,256,1,131072,59183042.49,57376.00,103049.47,16.00,175.84,53.49,8,0,0,0,0,0,0,0,0,5,13,32,0
