Kernel,BlockX,BlockY,ThreadCount,GridX,GridY,DataSize,EstTime(ns),ActTime(ns),DiffTime(%),WarpsPerSM,PredictedPower(W),ActualPower(W),MemCoal,MemUncoal,MemPartial,LocalInsts,SharedInsts,SynchInsts,FpInsts,IntInsts,SfuInsts,AluInsts,TotalInsts,RegsPerThread,SharedMemBytes
mha.cu,1,32,32,256,1,131072,2759518.85,52368.00,5169.48,1.00,193.05,58.05,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,2,16,32,256,1,131072,2701015.79,53248.00,4972.52,1.00,193.05,57.69,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,4,8,32,256,1,131072,2584009.68,29152.00,8763.92,1.00,193.07,57.48,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,8,4,32,256,1,131072,2349997.46,54272.00,4230.04,1.00,193.11,57.34,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,16,2,32,256,1,131072,1881973.00,53888.00,3392.38,1.00,193.22,57.38,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,32,1,32,256,1,131072,802309.48,62464.00,1184.44,1.00,177.80,57.27,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,1,64,64,256,1,131072,5509162.50,53248.00,10246.23,2.00,193.05,57.17,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,2,32,64,256,1,131072,5392156.39,53248.00,10026.50,2.00,193.06,57.15,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,4,16,64,256,1,131072,5158144.16,32912.00,15572.53,2.00,193.07,57.13,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,8,8,64,256,1,131072,4690119.71,52288.00,8869.78,2.00,193.11,57.06,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,16,4,64,256,1,131072,3754070.81,44128.00,8407.23,2.00,193.23,57.02,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,32,2,64,256,1,131072,1464979.83,54272.00,2599.33,2.00,170.60,57.01,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,64,1,64,256,1,131072,1724507.69,62464.00,2660.80,2.00,185.02,57.05,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,1,128,128,256,1,131072,11008449.80,63488.00,17239.42,4.00,193.05,57.04,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,2,64,128,256,1,131072,10774437.58,54272.00,19752.66,4.00,193.06,56.91,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,4,32,128,256,1,131072,10306413.13,62384.00,16420.92,4.00,193.07,56.94,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,8,16,128,256,1,131072,9370364.22,62464.00,14901.22,4.00,193.11,56.87,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,16,8,128,256,1,131072,7498266.42,53248.00,13981.78,4.00,193.23,56.88,12,0,0,0,0,0,0,0,0,0,12,32,0
mha.cu,32,4,128,256,1,131072,4648942.56,62464.00,7342.60,4.00,162.86,56.95,12,0,0,0,0,0,0,0,0,0,12,32,0
