Kernel,BlockX,BlockY,ThreadCount,GridX,GridY,DataSize,EstTime(ns),ActTime(ns),DiffTime(%),WarpsPerSM,PredictedPower(W),ActualPower(W),MemCoal,MemUncoal,MemPartial,LocalInsts,SharedInsts,SynchInsts,FpInsts,IntInsts,SfuInsts,AluInsts,TotalInsts,RegsPerThread,SharedMemBytes
convolution.cu,1,32,32,256,1,131072,11624201.64,57344.00,20171.00,1.00,172.08,56.24,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,2,16,32,256,1,131072,11441323.02,57344.00,19852.08,1.00,172.08,56.32,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,4,8,32,256,1,131072,11075565.79,49104.00,22455.32,1.00,172.09,56.16,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,8,4,32,256,1,131072,10344051.32,49136.00,20951.88,1.00,172.12,56.10,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,16,2,32,256,1,131072,8881022.38,49056.00,18003.84,1.00,172.18,56.15,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,32,1,32,256,1,131072,5389358.07,48720.00,10961.90,1.00,159.70,56.32,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,1,64,64,256,1,131072,23238763.94,57344.00,40425.19,2.00,172.08,56.27,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,2,32,64,256,1,131072,22873006.71,59392.00,38411.93,2.00,172.08,56.28,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,4,16,64,256,1,131072,22141492.24,56368.00,39180.25,2.00,172.09,56.25,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,8,8,64,256,1,131072,20678463.30,57392.00,35930.22,2.00,172.12,56.20,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,16,4,64,256,1,131072,17752405.43,57344.00,30857.74,2.00,172.18,56.22,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,32,2,64,256,1,131072,5026643.22,57344.00,8665.77,2.00,156.63,56.27,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,64,1,64,256,1,131072,5584243.36,56416.00,9798.33,2.00,164.05,56.26,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,1,128,128,256,1,131072,48315049.68,60400.00,79891.80,4.00,172.07,56.18,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,2,64,128,256,1,131072,48315035.40,57344.00,84154.73,4.00,172.07,56.17,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,4,32,128,256,1,131072,48315006.82,57424.00,84037.30,4.00,172.07,55.98,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,8,16,128,256,1,131072,48314949.67,49152.00,98197.01,4.00,172.07,56.11,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,16,8,128,256,1,131072,48314835.37,58976.00,81822.88,4.00,172.07,56.06,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,32,4,128,256,1,131072,16588551.11,57344.00,28828.14,4.00,152.36,55.91,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,64,2,128,256,1,131072,18539655.91,49152.00,37619.03,4.00,159.80,55.91,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,128,1,128,256,1,131072,20487903.27,57440.00,35568.36,4.00,167.24,56.18,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,1,256,256,256,1,131072,193228558.62,69632.00,277399.65,8.00,171.91,56.10,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,2,128,256,256,1,131072,193228544.33,61440.00,314399.59,8.00,171.91,56.10,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,4,64,256,256,1,131072,193228515.76,58400.00,330770.74,8.00,171.91,55.96,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,8,32,256,256,1,131072,193228458.61,36368.00,531214.51,8.00,171.91,56.03,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,16,16,256,256,1,131072,193228344.31,57344.00,336863.49,8.00,171.91,55.94,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,32,8,256,256,1,131072,62421675.79,58848.00,105972.72,8.00,148.26,55.90,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,64,4,256,256,1,131072,70226008.28,57344.00,122364.44,8.00,155.71,55.77,0,50,0,0,0,0,0,2,0,45,97,32,0
convolution.cu,128,2,256,256,1,131072,78030340.77,56976.00,136853.00,8.00,163.16,55.71,0,50,0,0,0,0,0,2,0,45,97,32,0
