Kernel,BlockX,BlockY,ThreadCount,GridX,GridY,DataSize,EstTime(ns),ActTime(ns),DiffTime(%),WarpsPerSM,PredictedPower(W),ActualPower(W),MemCoal,MemUncoal,MemPartial,LocalInsts,SharedInsts,SynchInsts,FpInsts,IntInsts,SfuInsts,AluInsts,TotalInsts,RegsPerThread,SharedMemBytes
matMul.cu,1,32,32,256,1,131072,38157.61,56320.00,32.25,1.00,198.43,24.58,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,2,16,32,256,1,131072,38157.61,62448.00,38.90,1.00,198.43,43.99,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,4,8,32,256,1,131072,38157.61,54176.00,29.57,1.00,198.43,31.84,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,8,4,32,256,1,131072,38157.61,62464.00,38.91,1.00,198.43,35.93,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,16,2,32,256,1,131072,38157.61,53248.00,28.34,1.00,198.43,41.09,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,32,1,32,256,1,131072,38157.61,62464.00,38.91,1.00,181.69,28.14,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,1,64,64,256,1,131072,66708.83,61440.00,8.58,2.00,199.42,33.32,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,2,32,64,256,1,131072,66708.83,54272.00,22.92,2.00,199.42,37.47,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,4,16,64,256,1,131072,66708.83,54272.00,22.92,2.00,199.42,42.47,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,8,8,64,256,1,131072,66708.83,62464.00,6.80,2.00,199.42,30.12,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,16,4,64,256,1,131072,66708.83,53248.00,25.28,2.00,199.42,35.28,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,32,2,64,256,1,131072,66708.83,59904.00,11.36,2.00,174.97,39.67,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,64,1,64,256,1,131072,66708.83,53248.00,25.28,2.00,190.18,44.58,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,1,128,128,256,1,131072,123811.26,72704.00,70.29,4.00,200.03,32.35,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,2,64,128,256,1,131072,123811.26,57344.00,115.91,4.00,200.03,37.93,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,4,32,128,256,1,131072,123811.26,62464.00,98.21,4.00,200.03,42.15,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,8,16,128,256,1,131072,123811.26,55200.00,124.30,4.00,200.03,28.64,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,16,8,128,256,1,131072,123811.26,54080.00,128.94,4.00,200.03,34.04,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,32,4,128,256,1,131072,123811.26,60416.00,104.93,4.00,167.85,39.20,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,64,2,128,256,1,131072,123811.26,35328.00,250.46,4.00,183.12,44.26,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,128,1,128,256,1,131072,123811.26,61440.00,101.52,4.00,198.40,31.12,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,1,256,256,256,1,131072,238016.11,106960.00,122.53,8.00,200.37,35.76,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,2,128,256,256,1,131072,238016.11,61408.00,287.60,8.00,200.37,41.11,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,4,64,256,256,1,131072,238016.11,60416.00,293.96,8.00,200.37,27.39,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,8,32,256,256,1,131072,238016.11,59248.00,301.73,8.00,200.37,32.76,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,16,16,256,256,1,131072,238016.11,58144.00,309.36,8.00,200.37,38.77,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,32,8,256,256,1,131072,238016.11,67584.00,252.18,8.00,160.47,43.83,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,64,4,256,256,1,131072,238016.11,66560.00,257.60,8.00,175.78,30.16,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,128,2,256,256,1,131072,238016.11,57584.00,313.34,8.00,191.08,35.37,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,256,1,256,256,1,131072,238016.11,61440.00,287.40,8.00,200.37,40.36,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,1,512,512,256,1,131072,466425.82,168960.01,176.06,16.00,200.55,45.43,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,2,256,512,256,1,131072,466425.82,103888.00,348.97,16.00,200.55,31.48,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,4,128,512,256,1,131072,466425.82,81872.00,469.70,16.00,200.55,37.18,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,8,64,512,256,1,131072,466425.82,73824.00,531.81,16.00,200.55,43.31,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,16,32,512,256,1,131072,466425.82,73728.00,532.63,16.00,200.55,28.04,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,32,16,512,256,1,131072,466425.82,73856.00,531.53,16.00,152.95,33.91,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,64,8,512,256,1,131072,466425.82,66112.00,605.51,16.00,168.27,39.84,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,128,4,512,256,1,131072,466425.82,65568.00,611.36,16.00,183.59,44.36,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,256,2,512,256,1,131072,466425.82,71280.00,554.36,16.00,198.91,30.20,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,512,1,512,256,1,131072,466425.82,62464.00,646.71,16.00,200.55,35.58,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,1,1024,1024,256,1,131072,923245.24,153632.00,500.95,32.00,200.64,41.33,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,2,512,1024,256,1,131072,923245.24,117984.00,682.52,32.00,200.64,46.00,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,4,256,1024,256,1,131072,923245.24,83968.00,999.52,32.00,200.64,31.96,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,8,128,1024,256,1,131072,923245.24,66320.00,1292.11,32.00,200.64,37.80,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,16,64,1024,256,1,131072,923245.24,73744.00,1151.96,32.00,200.64,43.20,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,32,32,1024,256,1,131072,923245.24,65408.00,1311.52,32.00,145.35,28.68,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,64,16,1024,256,1,131072,923245.24,65056.00,1319.15,32.00,160.68,34.51,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,128,8,1024,256,1,131072,923245.24,74656.00,1136.67,32.00,176.01,40.49,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,256,4,1024,256,1,131072,923245.24,65536.00,1308.76,32.00,191.34,45.13,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,512,2,1024,256,1,131072,923245.24,61248.00,1407.39,32.00,200.64,30.58,0,0,0,0,0,0,0,0,0,2,2,32,0
matMul.cu,1024,1,1024,256,1,131072,923245.24,62544.00,1376.15,32.00,200.64,36.35,0,0,0,0,0,0,0,0,0,2,2,32,0
